city,locality,bhk,bathrooms,area_sqft,price_inr
Thane,Puranik Home Town,2,2.0,735.0,9700000.0
Thane,Unknown,1,1.0,370.0,2700000.0
Thane,Unknown,2,2.0,610.0,5000000.0
Thane,Regency Sarvam,2,2.0,1130.0,5000000.0
Thane,Panvelkar Regency,2,2.0,770.0,4500000.0
Thane,Puraniks Hometown,1,1.0,430.0,5400000.0
Thane,NG Regency,1,1.0,410.0,5000000.0
Thane,Unknown,2,2.0,796.0,4100000.0
Thane,Tharwani Meghna Montana,2,2.0,688.0,4290000.0
Thane,Unknown,3,2.0,640.0,7500000.0
Thane,Bhoomi Acres,2,2.0,680.0,10000000.0
Thane,Samrin Heritage,3,3.0,1073.0,23600000.0
Thane,Vishwajeet Green,1,1.0,745.0,2900000.0
Thane,Vishwajeet Green,1,1.0,676.0,2500000.0
Thane,Vishwajeet Green,1,1.0,664.0,2750000.0
Thane,Kavyadhara Complex,1,1.0,595.0,7500000.0
Thane,Hiranandani Lake Enclave,3,3.0,1356.0,34500000.0
Thane,Parijat Gardens,1,1.0,400.0,4800000.0
Thane,Lodha Splendora,1,2.0,483.0,5600000.0
Thane,Unknown,1,2.0,453.0,4550000.0
Thane,Unknown,3,2.0,750.0,5500000.0
Thane,Cosmos Mary Park,2,2.0,800.0,16000000.0
Thane,Hiranandani Estate Villarica,2,2.0,760.0,17000000.0
Thane,Brahmand,1,2.0,500.0,6000000.0
Thane,Sheth Avalon,4,4.0,1704.0,49000000.0
Thane,Lodha Palava City,2,2.0,587.0,5800000.0
Thane,Unknown,2,2.0,701.0,2600000.0
Thane,Cosmos Empress Park,2,2.0,699.0,10000000.0
Thane,Unknown,1,2.0,623.0,2100000.0
Thane,Crystal Spires,3,3.0,1350.0,27500000.0
Thane,Tata Serein,2,2.0,763.0,16500000.0
Thane,Unknown,3,3.0,1140.0,25000000.0
Thane,Unknown,1,1.0,560.0,2600000.0
Thane,Runwal MyCity,2,1.0,850.0,6500000.0
Thane,Unknown,3,3.0,889.0,17500000.0
Thane,Unknown,2,1.0,840.0,6000000.0
Thane,Shree Developers Titwala Plots,1,1.0,490.0,2900000.0
Thane,JVM Pearl,1,1.0,415.0,5300000.0
Thane,Project Hiranandani Meadows,3,3.0,1140.0,30000000.0
Thane,Lodha Amara,2,2.0,735.0,13200000.0
Thane,Unknown,1,1.0,490.0,10500000.0
Thane,Lokpuram Complex,1,1.0,452.0,7900000.0
Thane,Unknown,1,1.0,450.0,6000000.0
Thane,Unknown,1,1.0,400.0,1800000.0
Thane,Devashree Park,3,3.0,894.0,13000000.0
Thane,Acura,2,2.0,640.0,10600000.0
Thane,Unknown,2,2.0,876.0,10000000.0
Thane,Acura,2,2.0,640.0,10700000.0
Thane,Sheth Avalon,2,2.0,758.0,17100000.0
Thane,Everest World,3,3.0,894.0,16000000.0
Thane,Unknown,1,1.0,570.0,1900000.0
Thane,Auralis The Twins,3,3.0,1153.0,22900000.0
Thane,Manohar Vikas Residency,2,3.0,1000.0,5600000.0
Thane,Unknown,2,2.0,785.0,7000000.0
Thane,Tharwani Meghna Montana,2,1.0,671.0,4150000.0
Thane,Sarvodaya Leela,4,3.0,1170.0,12500000.0
Thane,Unknown,2,2.0,590.0,6500000.0
Thane,Lodha Casa Royale,2,2.0,600.0,8300000.0
Thane,Unknown,3,2.0,1098.0,7200000.0
Thane,Rustomjee Azziano,2,2.0,848.0,14700000.0
Thane,Unknown,1,1.0,585.0,4000000.0
Thane,Acura,2,2.0,650.0,11299999.999999998
Thane,Hiranandani Estate Princeton,6,6.0,913.0,18500000.0
Thane,Lodha Amara,1,1.0,366.0,6300000.0
Thane,Unknown,2,2.0,750.0,14500000.0
Thane,Godrej Emerald,2,2.0,706.0,15000000.0
Thane,Unknown,2,2.0,612.0,6490000.000000001
Thane,Siddeshwar Garden,2,2.0,730.0,11000000.0
Thane,Lodha Lakeshore Greens,1,1.0,510.0,3400000.0
Thane,Tata Amantra,3,2.0,961.0,7250000.0
Thane,One Hiranandani Park,3,3.0,1228.0,36600000.0
Thane,Unknown,1,2.0,480.0,3500000.0
Thane,Unknown,1,1.0,533.0,4000000.0
Thane,Unknown,1,1.0,546.0,3500000.0
Thane,Lodha Amara,2,2.0,551.0,8600000.0
Thane,Unknown,1,1.0,435.0,7500000.0
Thane,Puraniks Hometown,1,2.0,430.0,5500000.0
Thane,Kalpataru Siddhachal Elite,4,3.0,1359.0,33000000.0
Thane,Dosti West County,2,2.0,640.0,13000000.0
Thane,Unknown,2,4.0,1100.0,4400000.0
Thane,Lodha Splendora,1,2.0,495.0,5800000.0
Thane,Lodha Lakeshore Greens,1,1.0,510.0,3600000.0
Thane,Lodha Luxuria,4,4.0,1650.0,29500000.0
Thane,Tharwani Vedant Nakshatra,1,1.0,442.0,3000000.0
Thane,Unknown,1,1.0,540.0,5600000.0
Thane,Acura,2,2.0,650.0,11500000.0
Thane,Hiranandani Meadows,3,2.0,1300.0,29900000.000000004
Thane,Unknown,3,2.0,870.0,13000000.0
Thane,Unknown,2,2.0,830.0,19000000.0
Thane,Tata Amantra,2,2.0,763.0,6100000.0
Thane,Sukur Sapphire,1,2.0,480.0,5800000.0
Thane,Unknown,1,1.0,370.0,4800000.0
Thane,Unknown,1,1.0,454.0,4300000.0
Thane,Hiranandani Estate Villa Royale,2,2.0,750.0,16500000.0
Thane,Samrin Heritage,2,2.0,721.0,15900000.0
Thane,And Forever City,2,2.0,575.0,6300000.0
Thane,Unknown,2,2.0,790.0,19300000.0
Thane,Project Hiranandani Meadows,3,3.0,1100.0,29900000.000000004
Thane,Lodha Splendora,5,3.0,2200.0,25000000.0
Thane,Unknown,2,2.0,700.0,7000000.0
Thane,Unknown,1,1.0,400.0,1700000.0
Thane,Giriraj Dreams,2,2.0,790.0,19900000.0
Thane,Rameshwar Park,1,1.0,390.0,3600000.0
Thane,Wimbeldon Park,1,2.0,500.0,9800000.0
Thane,Vihang Hills,2,2.0,850.0,7200000.0
Thane,Aralia,3,3.0,1203.0,35900000.0
Thane,Neelkhanth Swanand Arnav,1,1.0,438.0,3250000.0
Thane,Lodha Lakeshore Greens,1,2.0,510.0,3700000.0
Thane,Unknown,2,1.0,546.0,4000000.0
Thane,Raunak Unnathi Woods Phase 7,1,2.0,379.0,6000000.0
Thane,Lodha Splendora,1,1.0,495.0,5500000.0
Thane,Hiranandani Rodas Enclave,3,3.0,1012.0,26000000.0
Thane,Venus Skky City,2,2.0,526.0,4900000.0
